Graph, Time, # true communities, # communities found by modularity, # communities found by MapEquation, Modularity NMI, MapEquation NMI, Modularity time (s), MapEquation time (s)
LFR_250_1, 22_11-16-32, 8, 8, 12, 0.8464672529734497, 0.8653348666026828, 0.03, 0.01
LFR_250_2, 22_11-16-32, 7, 7, 13, 0.7610316004914994, 0.7905403440484998, 0.03, 0.01
LFR_1000_1, 22_11-16-34, 7, 7, 48, 0.7655209766481266, 0.6623203407063002, 0.13, 0.06
LFR_1000_2, 22_11-16-35, 27, 22, 35, 0.8732181267268779, 0.9037081633865319, 0.21, 0.05
LFR_5000_1, 22_11-16-41, 81, 52, 82, 0.9476723977203768, 0.9903726393783625, 0.83, 0.26
LFR_5000_2, 22_11-16-43, 74, 48, 74, 0.9555356599364608, 0.9937476760041893, 1.11, 0.22
LFR_10000_1, 22_11-17-19, 107, 64, 109, 0.9538062081595048, 0.9934039629324565, 2.2, 0.47
LFR_10000_2, 22_11-17-23, 120, 68, 123, 0.9473527132216008, 0.990146410676364, 2.73, 0.63
LFR_25000_1, 22_11-18-47, 229, 90, 237, 0.9315973630707727, 0.9912974412258425, 8.39, 1.7
LFR_25000_2, 22_11-18-57, 311, 115, 313, 0.9258717286667046, 0.995146721900241, 7.1, 1.43
LFR_50000_1, 22_11-23-09, 545, 157, 550, 0.915950764906648, 0.9943241712168602, 23.63, 3.85
LFR_50000_2, 22_11-23-37, 425, 137, 427, 0.929627703902039, 0.9938245190842043, 21.6, 5.15
LFR_100000_1, 22_11-35-05, 702, 160, 1025, 0.9045724558025964, 0.96026314263536, 39.77, 12.08
LFR_100000_2, 22_11-36-15, 688, 161, 1072, 0.901764986406047, 0.9507269161219781, 48.83, 15.74
LFR_250000_1, 22_12-17-33, 2248, 341, 2251, 0.8952432533885105, 0.995231368297894, 185.03, 22.24
LFR_250000_2, 22_12-20-39, 1997, 325, 2007, 0.9048662589876438, 0.9948477593522909, 151.5, 23.02
LFR_250000_3, 22_12-25-00, 1374, 220, 2916, 0.8598530541700823, 0.9250086541203197, 221.66, 28.83
LFR_250_3, 22_16-05-07, 6, 5, 9, 0.7904524281454796, 0.8620960206546291, 0.03, 0.0
LFR_250_4, 22_16-05-07, 8, 8, 16, 0.7410974940875041, 0.6650730738318801, 0.03, 0.01
LFR_1000_3, 22_16-05-10, 19, 19, 24, 0.9076390866112796, 0.8952327530761713, 0.14, 0.02
LFR_1000_4, 22_16-05-10, 24, 21, 28, 0.8943490221426997, 0.9279154922924391, 0.14, 0.03
LFR_500000_1, 22_16-35-10, 3863, 439, 3877, 0.8851819770556635, 0.9951628758898672, 1052.58, 53.74
LFR_500000_2, 22_16-54-51, 3488, 410, 3505, 0.889875723495778, 0.9943413243186138, 1104.02, 54.08
LFR_500000_3, 22_17-07-22, 3707, 440, 3722, 0.8914390707882103, 0.9950063895602042, 674.78, 53.65
LFR_500000_4, 22_17-22-49, 3831, 443, 3833, 0.8872150684927103, 0.9954487255879582, 849.49, 53.43
LFR_1000000_1, 23_04-51-32, 7501, 631, 7506, 0.8770511068644246, 0.9955985542181016, 2063.46, 97.13
LFR_1000000_2, 23_05-20-02, 6487, 535, 6514, 0.8658271577130319, 0.9947555176800362, 1558.35, 104.25
LFR_1000000_3, 23_05-55-49, 7106, 579, 7128, 0.8753972861674244, 0.9953640064239694, 2001.09, 101.49
LFR_1000000_4, 23_06-22-53, 8016, 641, 8016, 0.8734773666417076, 0.9958228868821738, 1482.62, 96.61
LFR_1000000_5, 23_06-41-48, 5728, 472, 5904, 0.8530085389154838, 0.9915126813939584, 974.65, 114.77
LFR_250_5, 23_18-44-28, 5, 7, 14, 0.5837676714935178, 0.4264556188984802, 0.04, 0.01
LFR_1000_5, 23_18-44-32, 16, 14, 37, 0.8176875357439662, 0.8285913734453233, 0.13, 0.03
LFR_5000_3, 24_19-23-48, 65, 49, 66, 0.9607992125980588, 0.9883723487540614, 1.35, 0.23
LFR_10000_3, 24_19-24-12, 161, 79, 162, 0.9333310334800085, 0.9928116013339121, 2.21, 0.49
LFR_25000_3, 24_19-24-48, 284, 120, 288, 0.9360319245551052, 0.9949142980734514, 6.54, 1.4
LFR_50000_3, 24_19-27-02, 584, 168, 585, 0.9123729962317082, 0.9946345790490483, 19.5, 3.36
LFR_100000_3, 24_19-33-55, 746, 179, 759, 0.9112959290003224, 0.9926789513742389, 75.83, 8.35
LFR_5000_4, 24_19-45-05, 71, 51, 71, 0.9613685538423848, 0.9915890688140507, 1.0, 0.19
LFR_10000_4, 24_19-45-22, 115, 73, 118, 0.9589035770982478, 0.9926128615015208, 1.94, 0.44
LFR_25000_4, 24_19-46-00, 319, 120, 319, 0.9254574238301959, 0.9947883797346977, 6.03, 1.31
LFR_50000_4, 24_19-48-21, 626, 167, 630, 0.906805883452161, 0.9948846079163894, 16.1, 3.38
LFR_100000_4, 24_19-54-32, 897, 201, 904, 0.9107631565952674, 0.9927793485289018, 49.35, 7.65
LFR_250000_4, 24_20-16-27, 1802, 301, 1819, 0.9032111709741756, 0.9937960276920709, 385.63, 21.57
LFR_5000_5, 24_20-44-32, 70, 51, 71, 0.9539161391837178, 0.9871125607858677, 0.95, 0.19
LFR_10000_5, 24_20-44-49, 114, 73, 116, 0.95686308218996, 0.9924988745445525, 2.23, 0.44
LFR_25000_5, 24_20-45-32, 234, 92, 243, 0.9257837284140991, 0.9911012077550541, 6.61, 1.41
LFR_50000_5, 24_20-47-54, 441, 138, 451, 0.9135086216506163, 0.9922988452975723, 17.48, 3.36
LFR_100000_5, 24_20-54-59, 1056, 228, 1058, 0.9032377435779947, 0.9948554398615248, 43.26, 7.86
LFR_250000_5, 24_21-13-16, 2337, 348, 2339, 0.8929841686491055, 0.995640776810677, 123.81, 21.48
