Graph, Time, # true communities, # communities found by modularity, # communities found by MapEquation, Modularity NMI, MapEquation NMI, Modularity time (s), MapEquation time (s)
LFR_250_1, 22_11-16-33, 11, 10, 22, 0.8801176392649326, 0.8348695398669087, 0.03, 0.0
LFR_250_2, 22_11-16-33, 2, 5, 1, 0.3657041056333163, 0.0, 0.15, 0.01
LFR_1000_1, 22_11-16-37, 5, 12, 82, 0.17119079996321157, 0.21582035006091077, 0.14, 0.02
LFR_1000_2, 22_11-16-38, 12, 12, 14, 0.9557410131522504, 0.963247079697458, 0.15, 0.03
LFR_5000_1, 22_11-16-55, 25, 25, 112, 0.9021926926060198, 0.873825192560047, 1.06, 0.29
LFR_5000_2, 22_11-16-56, 67, 44, 67, 0.9653023873434362, 0.9944804083233492, 1.27, 0.2
LFR_10000_1, 22_11-17-52, 18, 17, 204, 0.731630242436044, 0.7505777514387889, 1.87, 0.53
LFR_10000_2, 22_11-17-56, 49, 33, 120, 0.9608397076206322, 0.9218529661224876, 3.52, 0.49
LFR_25000_1, 22_11-20-24, 18, 16, 370, 0.7548903651370171, 0.7943871192766961, 6.54, 2.39
LFR_25000_2, 22_11-20-36, 131, 74, 141, 0.9711582334737036, 0.9940533576755979, 10.1, 1.38
LFR_50000_1, 22_11-27-12, 29, 25, 1347, 0.7098016252728409, 0.5491055265427242, 18.65, 4.46
LFR_50000_2, 22_11-28-04, 110, 70, 161, 0.962863652332161, 0.9865399615154339, 45.15, 4.9
LFR_100000_1, 22_11-46-20, 81, 106, 2955, 0.8392873724341487, 0.7120000899622096, 26.39, 17.93
LFR_100000_2, 22_11-47-25, 132, 79, 456, 0.9832483674803698, 0.958350013878048, 48.7, 11.8
LFR_250000_1, 22_13-30-46, 188, 103, 1563, 0.9618314217663358, 0.9222778384819245, 652.19, 35.63
LFR_250000_2, 22_13-39-23, 459, 192, 2539, 0.9111315017893338, 0.9158504654318821, 468.81, 37.1
LFR_250000_3, 22_13-49-38, 611, 221, 4551, 0.8643897621583131, 0.8683814670671152, 572.86, 31.88
LFR_250_1, 22_16-05-08, 11, 11, 22, 0.9044638530150426, 0.8348695398669087, 0.02, 0.0
LFR_250_2, 22_16-05-08, 2, 6, 1, 0.38569207922421656, 0.0, 0.04, 0.0
LFR_250_3, 22_16-05-08, 8, 8, 10, 0.9488766567344491, 0.9500539015575921, 0.04, 0.0
LFR_250_4, 22_16-05-08, 7, 7, 14, 0.9528756958010103, 0.84957574433457, 0.03, 0.0
